assessment_item_id,axis_name,assessment_completion_dt,assessment_version,country_name,component_identifier,item_identifier,score_text,score_value,assessment_comment,confidentiality_justification,confidentiality_status,sort_priority
,Finance,,"Version 2024-2025",World,F1,A,,50.505050505051,,,P,0
,Finance,,"Version 2024-2025",World,F1,B,,43.298969072165,,,P,0
,Finance,,"Version 2024-2025",World,F1,C,,28.673835125448,,,P,0
,Finance,,"Version 2024-2025",World,F1,D,,39.583333333333,,,P,0
,Finance,,"Version 2024-2025",World,F2,A,,80.701754385965,,,P,0
,Finance,,"Version 2024-2025",World,F2,B,,85.964912280702,,,P,0
,Finance,,"Version 2024-2025",World,F2,C,,85,,,P,0
,Finance,,"Version 2024-2025",World,F3,A,,65.843621399177,,,P,0
,Finance,,"Version 2024-2025",World,F3,B,,60.162601626016,,,P,0
,Finance,,"Version 2024-2025",World,F3,C,,53.418803418803,,,P,0
,Finance,,"Version 2024-2025",World,F3,D,,55.263157894737,,,P,0
,Finance,,"Version 2024-2025",World,F4,A,,51.578947368421,,,P,0
,Finance,,"Version 2024-2025",World,F4,B,,29.259259259259,,,P,0
,Finance,,"Version 2024-2025",World,F4,C,,26.893939393939,,,P,0
,Governance,,"Version 2024-2025",World,G1,A,,79.79797979798,,,P,0
,Governance,,"Version 2024-2025",World,G1,B,,78.368794326241,,,P,0
,Governance,,"Version 2024-2025",World,G1,C,,77.551020408163,,,P,0
,Governance,,"Version 2024-2025",World,G10,A,,68.75,,,P,0
,Governance,,"Version 2024-2025",World,G10,B,,71.477663230241,,,P,0
,Governance,,"Version 2024-2025",World,G10,C,,48.913043478261,,,P,0
,Governance,,"Version 2024-2025",World,G2,A,,93.069306930693,,,P,0
,Governance,,"Version 2024-2025",World,G2,B,,85.333333333333,,,P,0
,Governance,,"Version 2024-2025",World,G2,C,,70.103092783505,,,P,0
,Governance,,"Version 2024-2025",World,G2,D,,83.498349834984,,,P,0
,Governance,,"Version 2024-2025",World,G3,A,,69,,,P,0
,Governance,,"Version 2024-2025",World,G3,B,,72.093023255814,,,P,0
,Governance,,"Version 2024-2025",World,G3,C,,54.578754578755,,,P,0
,Governance,,"Version 2024-2025",World,G4,A,,75.170068027211,,,P,0
,Governance,,"Version 2024-2025",World,G4,B,,73.611111111111,,,P,0
,Governance,,"Version 2024-2025",World,G4,C,,69.473684210526,,,P,0
,Governance,,"Version 2024-2025",World,G5,A,,84.158415841584,,,P,0
,Governance,,"Version 2024-2025",World,G5,B,,59.863945578231,,,P,0
,Governance,,"Version 2024-2025",World,G5,C,,71.821305841924,,,P,0
,Governance,,"Version 2024-2025",World,G5,D,,53.405017921147,,,P,0
,Governance,,"Version 2024-2025",World,G6,A,,76.666666666667,,,P,0
,Governance,,"Version 2024-2025",World,G6,B,,77.666666666667,,,P,0
,Governance,,"Version 2024-2025",World,G6,C,,56.140350877193,,,P,0
,Governance,,"Version 2024-2025",World,G7,A,,69.360269360269,,,P,0
,Governance,,"Version 2024-2025",World,G7,B,,55.670103092784,,,P,0
,Governance,,"Version 2024-2025",World,G7,C,,56.013745704467,,,P,0
,Governance,,"Version 2024-2025",World,G8,A,,65.993265993266,,,P,0
,Governance,,"Version 2024-2025",World,G8,B,,51.360544217687,,,P,0
,Governance,,"Version 2024-2025",World,G9,A,,79.166666666667,,,P,0
,Governance,,"Version 2024-2025",World,G9,B,,63.973063973064,,,P,0
,Governance,,"Version 2024-2025",World,G9,C,,61.279461279461,,,P,0
,"Public policies",,"Version 2024-2025",World,P1,A,,91.489361702128,,,P,0
,"Public policies",,"Version 2024-2025",World,P1,B,,82.783882783883,,,P,0
,"Public policies",,"Version 2024-2025",World,P1,C,,80.701754385965,,,P,0
,"Public policies",,"Version 2024-2025",World,P2,A,,73.333333333333,,,P,0
,"Public policies",,"Version 2024-2025",World,P2,B,,75.577557755776,,,P,0
,"Public policies",,"Version 2024-2025",World,P2,C,,71.333333333333,,,P,0
,"Public policies",,"Version 2024-2025",World,P3,A,,73.063973063973,,,P,0
,"Public policies",,"Version 2024-2025",World,P3,B,,75.510204081633,,,P,0
,"Public policies",,"Version 2024-2025",World,P3,C,,65.666666666667,,,P,0
,"Public policies",,"Version 2024-2025",World,P4,A,,66.666666666667,,,P,0
,"Public policies",,"Version 2024-2025",World,P4,A,,74.358974358974,,,P,0
,"Public policies",,"Version 2024-2025",World,P4,A,,83.333333333333,,,P,0
,"Public policies",,"Version 2024-2025",World,P4,A,,60,,,P,0
,"Public policies",,"Version 2024-2025",World,P4,A,,77.131782945736,,,P,0
,"Public policies",,"Version 2024-2025",World,P4,B,,65.47619047619,,,P,0
,"Public policies",,"Version 2024-2025",World,P4,B,,77.510040160643,,,P,0
