assessment_item_id,axis_name,assessment_completion_dt,assessment_version,entity_type,entity_name,entity_id,component_identifier,item_identifier,score_text,score_value,assessment_comment,confidentiality_justification,confidentiality_status
7876,Financiamento,2025-09-12T15:28:55.628Z,"Versão de Avaliação 2025",Estado,Acre,12,F1,A,"Estágio avançado",1,"No PPA é previsto um programa Específico 1460- Programa Ecossistema de Inivação Ambiental e Adaptação Climática, com orçamento em 2024: R$ 10.521.086,24 e 2025: R$ 10.856.375,97.
O Programa 1459 - Regularização, controle e monitoramento ambiental, prevê  o orçamento de 2024: R$ 11.157.652,57 - 2025: R$ 11.513.228,62 e tem como objetivo Desenvolver de forma ampla o monitoramento ambiental do estado do Acre (cobertura 
florestal, hidrometeorológico, queimadas, qualidade do ar e a dinâmica de uso e ocupação do solo).
Há também o programa Infraestrutura e mobilidade Urbana que prevê o orçamento de 2024: R$ 246.234.833,46 - 2025: R$ 254.081.932,93 e tem como OBJETIVO ESPECÍFICO 5: Implantação e Urbanização de Parques e OBJETIVO ESPECÍFICO 6:Preservação das Encostas de Rios e Igarapés
Programa 1453 - Saneia Acre, com objetivo de Ampliar a oferta de rede de distribuição de água potável e da rede coletora e de tratamento de esgoto em 
todos municípios do Estado. Orçamento previsto: 2024: R$ 62.277.884,85 - 2025: R$ 64.262.578,69",,P
7881,Financiamento,2025-09-12T15:28:55.628Z,"Versão de Avaliação 2025",Estado,Acre,12,F1,B,"Estágio intermediário",0.666,"No PPA é possível identificar programas com nomes relacionados ao clima, mas não um sistema de classificação em seu orçamento (Programa 1460 - Ecossistema de Inivação Ambiental e Adaptação Climática, em outros programas).  
Já na LOA 2025 pode-se identificar, mensurar e classificar gastos direcionados para ações climáticas, como por exemplo no Anexo 7 - Lei 2030: Código: 18.541.1460. Especificação: ECOSSISTEMA DE INOVAÇÃO AMBIENTAl e Adaptação Climática. Projetos: 15.225.268,48; Atividades:  7.250.000,00 Total: 22.475.268,48. 
Não foi possivel encontrar ações que possam contribuir negativamente para os objetivos climáticos.
Porém a LOA 2025,",,P
7884,Financiamento,2025-09-12T15:28:55.628Z,"Versão de Avaliação 2025",Estado,Acre,12,F1,C,"Sem progresso",,"Em algumas licitações no Acre, documentos como o DOF e o licenciamento de operação são exigidos para comprovar a origem e legalidade de produtos florestais. Embora não haja menção específica a um ""selo verde"" do Acre, o estado tem algumas poucas ações de sustentabilidade, como o Prêmio Socioambiental Chico Mendes. Porém, não foi possível constatar que esta seja uma pratica institucionalizada do Estado em sua rotina de contratações e compras.",,P
7967,Financiamento,2025-09-12T15:28:55.628Z,"Versão de Avaliação 2025",Estado,Acre,12,F1,D,"Estágio intermediário",0.666,"O portal de transparencia apresenta os dados orçamentários da gestão ambiental como um todo, não sendo possível discriminar os gastos em programas específicos. 
O acesso é feito pelo endereço www.acreppp.org, onde é possível encontrar de forma precisa indicadores de desmatamento - que registrou uma redução de 66% no período de 12 anos; aumento da produção da castanha - hoje um dos maiores produtores do Brasil; aumento de 300% na produção de açaí nos últimos 4 anos, e outros. O portal de Transparencias atende parcialmente os critérios do item, mostrando-se uma ferramenta fraca.",,P
7968,Financiamento,2025-09-12T15:28:55.628Z,"Versão de Avaliação 2025",Estado,Acre,12,F2,A,"Estágio intermediário",0.666,"Governo do Acre alinha políticas públicas ambientais que serão executadas em parceria com governo federal e municípios.
O Acre aderiu ao projeto Floresta+ Amazônia, do Ministério de Meio Ambiente (MMA), e já deu início ao processo de adesão para que produtores rurais possam ser remunerados por manterem suas florestas em pé para além do exigido por lei.
O Governo do Acre tem estabelecido diversas parcerias com o governo federal para fortalecer políticas ambientais no estado, com foco na preservação da Amazônia e no combate ao desmatamento. Essas parcerias envolvem ações de regularização ambiental, restauração florestal, bioeconomia e enfrentamento aos efeitos das mudanças climáticas.
O Fundo Brasil-ONU é uma parceria estratégica entre o Consórcio da Amazônia Legal (CAL), a ONU Brasil e o governo federal, com o objetivo de apoiar a implementação de soluções sustentáveis e inclusivas para os desafios da Amazônia. O Acre foi contemplado pelo Fundo Brasil-ONU para a Amazônia. São mais de R$ 15 milhões que serão  investidos no fortalecimento da governança ambiental, na restauração florestal, segurança hídrica e na bioeconomia.
Não foi possível encontrar um mapeamento sistemático oportunidades de adesão.",,P
7970,Financiamento,2025-09-12T15:28:55.628Z,"Versão de Avaliação 2025",Estado,Acre,12,F2,B,"Estágio avançado",1,"O Acre tem se destacado na adesão e implementação de programas e políticas federais relacionadas ao clima, com foco na redução do desmatamento, promoção da sustentabilidade e adaptação às mudanças climáticas. O estado tem recebido investimentos significativos do governo federal e parcerias internacionais para projetos ambientais, incluindo programas como REDD+ e a recuperação de áreas degradadas. 
O governo do Acre, por meio da Secretaria de Estado de Meio Ambiente (Sema), tem trabalhado para alinhar políticas públicas ambientais com o governo federal e os municípios.
O Programa REM e o Projeto Rumo ao Desmatamento Ilegal Zero com o Fundo Amazônia reafirmam a posição de vanguarda do Acre na proteção do meio ambiente. Juntas, essas iniciativas possibilitarão ao governo estadual empregar mais de R$ 138 milhões, no próximo ano, em ações de fortalecimento das políticas de sustentabilidade florestal e combate ao desmatamento ilegal.",,P
7987,Financiamento,2025-09-12T15:28:55.628Z,"Versão de Avaliação 2025",Estado,Acre,12,F2,C,"Estágio intermediário",0.666,"O governo do Acre, em colaboração com o governo federal, realiza o monitoramento da execução físico-financeira das políticas ambientais no estado. O governo do Acre tem parceria com o Ministério do Meio Ambiente (MMA) e municípios para o desenvolvimento de políticas públicas ambientais. 
Projetos como o ""Pagamento por Serviços Ambientais (PSA) Agricultor"" e o ""Floresta+ Amazônia"" são exemplos de iniciativas conjuntas. 
O estado também busca recursos de outras fontes, como o Fundo Amazônia, para financiar projetos de conservação ambiental. As ações de mobilização de investimentos são monitoradas com regularidade e as informações disponibilizadas e encontradas atendem parcialmente os atributos 2 e 3.
Os recursos do Programa REM ACre Fase II podem ser acompanhadas na página eletrônica do programa e são atualizadas e de fácil compreensão.",,P
7562,Financiamento,2025-09-12T15:28:55.628Z,"Versão de Avaliação 2025",Estado,Acre,12,F3,A,"Estágio inicial",0.333,"Acre capta mais de U$ 300 milhões para investimentos
Na Conferência das Nações Unidas sobre as Mudanças Climáticas (COP27), no Egito, o Estado do Acre prospectou mais de U$ 300 milhões que irão garantir investimentos em políticas de sustentabilidade para os próximos 4 anos. Com a U.S. Agency for International Development (Usaid), estão previstos mais de U$ 250 mil para desenvolvimento de projetos voltados para a sustentabilidade e o reflorestamento, para o fortalecimento de cadeias produtivas locais e melhoria da qualidade de vida daqueles que vivem na floresta.
 parceria foi firmada com a Noruega para captação de U$ 8 milhões destinados à recuperação de áreas degradadas, melhoramento do uso do solo, a diversificação da produção, a melhoria da geração de renda e dos serviços ambientais e ecossistêmicos. Já o fundo canadense se dispôs a investir U$ 30 milhões para ações voltadas para a bioeconomia.

A Mercuria Trading S.A., uma empresa privada suíça, se propôs a contribuir com as políticas de comando e controle do desmatamento e incêndios florestais, a fim de viabilizar a captação mais de U$ 2 milhões. O programa REM, financiado pelos governos alemão (Banco KfW) e inglês (Beis), disponibilizará mais de U$ 13 milhões para o Acre.
transparência e preparação da população.",,P
7583,Financiamento,2025-09-12T15:28:55.628Z,"Versão de Avaliação 2025",Estado,Acre,12,F3,B,"Sem progresso",,"Não foram encontradas as ações de mobilização de investimento privado que sejam monitoradas regularmente e que a informação seja disponibilizada de forma a atender totalmente aos atributos de transparência, acessibilidade e usabilidade
Não foram localizadas evidências que demonstrem a existência de tal sistema de monitoramento e transparencia para o investimento privado.",,P
9925,Financiamento,2025-10-21T19:11:54.453Z,"Versão de Avaliação 2025",Estado,Alagoas,27,F1,A,"Estágio avançado",1,"O PPA do Estado de Alagoas inclui o enfrentamento das mudanças climáticas como uma das suas diretrizes, alocando recursos em seus orçamentos anuais para ações ou iniciativas direcionadas ao enfrentamento da mudança do clima e seus impactos.

Dentre as ações, pode-se citar:
1 - OPERAR, MANTER E AMPLIAR A REDE DE ESTAÇÕES METEOROLÓGICAS, HIDROLÓGICAS E PLUVIOMÉTRICAS DO SISTEMA DE MONITORAMENTO DE DESASTRES NATURAIS NO ESTADO DE ALAGOAS.
2 - CONSTRUIR BARRAGENS E REALIZAR AÇÕES DE PREVENÇÕES DE DESASTRES AMBIENTAIS NAS BACIAS HIDROGRÁFICAS.
3 - CONSCIENTIZAR A POPULAÇÃO E DISSERMINAR INFORMAÇÕES SOBRE A IMPORTÂNCIA DE SE PRESERVAR O MEIO AMBIENTE.
4 - IMPLANTAR E PROMOVER A POLÍTICA DE EDUCAÇÃO AMBIENTAL NO ESTADO, GARANTINDO A CONSERVAÇÃO E A MANUTENÇÃO DA BIODIVERSIDADE, PROMOVENDO A CONSERVAÇÃO DOS SOLOS, A PRODUÇÃO AGRÍCOLA, A BIODIVERSIDADE E A CONVIVÊNCIA SUSTENTAVÉL COM A SEMIARIDEZ EM REGIÕES SUSCETÍVEIS À DESERTIFICAÇÃO, E PROMOVENDO DIRETRIZES GERAIS DE DISCIPLINAMENTO DE USO E OCUPAÇÃO NATURAL E ECONÔNICA DA ZONA COSTEIRA.
5 - ELABORAR O PLANO DE AÇÃO CLIMÁTICA, OBJETIVANDO CRIAR ESTRATÉGIAS VOLTADAS ÀS MUDANÇAS CLIMÁTICAS.
6 - MANTER A SALA DE ALERTA E O SISTEMA DE ALERTA CLIMÁTICO DE ALAGOAS.",,P
