axis_identifier,axis_name,axis_display_name,axis_order,component_identifier,component_name,component_order,item_identifier,item_name,item_order,full_item_code,source_url
G,Governança,Governança,1,G1,Quadro legal e regulatório,1,A,Existência de um marco legislativo,1,G1.A,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G1,Quadro legal e regulatório,1,B,Consistência com os planos ou estratégias nacionais,2,G1.B,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G1,Quadro legal e regulatório,1,C,Mecanismos de integração,3,G1.C,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G2,Estrutura governamental,2,A,Existência de estrutura governamental,1,G2.A,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G2,Estrutura governamental,2,B,Responsabilidades definidas,2,G2.B,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G2,Estrutura governamental,2,C,Liderança,3,G2.C,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G3,Gestão de riscos,3,A,Mapeamento de riscos,1,G3.A,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G3,Gestão de riscos,3,B,Riscos climáticos em instrumentos de planejamento,2,G3.B,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G4,Coordenação horizontal e vertical,4,A,Coordenação horizontal intragovernamental,1,G4.A,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G4,Coordenação horizontal e vertical,4,B,Coordenação horizontal intergovernamental,2,G4.B,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G4,Coordenação horizontal e vertical,4,C,Coordenação vertical,3,G4.C,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G5,Engajamento das partes interessadas,5,A,Mecanismos de participação,1,G5.A,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G5,Engajamento das partes interessadas,5,B,Representatividade,2,G5.B,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G6,Justiça climática,6,A,Identificação de grupos em situação de vulnerabilidade,1,G6.A,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G6,Justiça climática,6,B,Inclusão no processo de tomada de decisão,2,G6.B,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G6,Justiça climática,6,C,Políticas equitativas,3,G6.C,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G7,Atuação do Legislativo e Judiciário,7,A,Casa legislativa,1,G7.A,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G7,Atuação do Legislativo e Judiciário,7,B,Controle externo e interno,2,G7.B,https://climatescanner.org/pt/sobre/
G,Governança,Governança,1,G7,Atuação do Legislativo e Judiciário,7,C,Poder Judiciário,3,G7.C,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P1,Estratégias de mitigação,1,A,Existência de planos / políticas / estratégias de mitigação,1,P1.A,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P1,Estratégias de mitigação,1,B,Monitoramento,2,P1.B,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P1,Estratégias de mitigação,1,C,Transparência,3,P1.C,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P2,Estratégias de adaptação,2,A,Existência de planos / políticas / estratégias de adaptação,1,P2.A,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P2,Estratégias de adaptação,2,B,Monitoramento,2,P2.B,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P2,Estratégias de adaptação,2,C,Transparência,3,P2.C,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P3,Políticas públicas e mitigação,3,A,Planejamento territorial,1,P3.A,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P3,Políticas públicas e mitigação,3,B,Transporte e mobilidade urbana,2,P3.B,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P3,Políticas públicas e mitigação,3,C,Gestão de resíduos,3,P3.C,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P3,Políticas públicas e mitigação,3,D,Livre escolha,4,P3.D,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P4,Políticas públicas e adaptação,4,A,Recursos hídricos,1,P4.A,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P4,Políticas públicas e adaptação,4,B,Saúde,2,P4.B,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P4,Políticas públicas e adaptação,4,C,Livre escolha,3,P4.C,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P4,Políticas públicas e adaptação,4,D,Livre escolha,4,P4.D,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P5,Defesa civil e risco de desastre,5,A,Planejamento e mapeamento de riscos,1,P5.A,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P5,Defesa civil e risco de desastre,5,B,"Prevenção, mitigação, preparação e resposta",2,P5.B,https://climatescanner.org/pt/sobre/
P,Políticas públicas,Políticas públicas,2,P5,Defesa civil e risco de desastre,5,C,Recuperação pós-desastres,3,P5.C,https://climatescanner.org/pt/sobre/
F,Financiamento,Finanças,3,F1,Finanças e gastos públicos,1,A,Alocação orçamentária,1,F1.A,https://climatescanner.org/pt/sobre/
F,Financiamento,Finanças,3,F1,Finanças e gastos públicos,1,B,Rastreamento das despesas,2,F1.B,https://climatescanner.org/pt/sobre/
F,Financiamento,Finanças,3,F1,Finanças e gastos públicos,1,C,Contratações públicas,3,F1.C,https://climatescanner.org/pt/sobre/
F,Financiamento,Finanças,3,F1,Finanças e gastos públicos,1,D,Transparência,4,F1.D,https://climatescanner.org/pt/sobre/
F,Financiamento,Finanças,3,F2,Captação de recursos,2,A,Adesão a programas e políticas nacionais e/ou estaduais,1,F2.A,https://climatescanner.org/pt/sobre/
